Pilot Full Name,License Number,Nationality,Date of Birth,License Type,Issuing Authority,License Issue Date,License Expiry Date,Flight Date,Aircraft Registration,Aircraft Make/Model,Simulator Device,Route From (ICAO),Route To (ICAO),Total Flight Time (HH:MM),Aircraft LSA,Aircraft Single Engine,Aircraft Multi Engine,Aircraft Turboprop,Aircraft Turbojet,Aircraft Helicopter,Aircraft Glider,Aircraft Ultralight Motorized,Aircraft Ultralight Non-Motorized,Day Time (HH:MM),Night Time (HH:MM),IFR Time (HH:MM),Approach Type,Approach Count,Simulator Type,Simulator Time (HH:MM),Cross Country Time (HH:MM),Solo Time (HH:MM),PIC Time (HH:MM),SIC Time (HH:MM),Dual Received (HH:MM),Instructor Time (HH:MM),Remarks,Certification Type,Issued By,Certification Issue Date,Certification Valid Until,Certification Description,Certification Status
María Valenzuela,CL-CPL-00456,Chile,10/3/1987,CPL(A) IR,DGAC Chile,9/1/2019,9/1/2025,7/1/2025,CC-GCA,Cessna 182T,Elite S923,SCTE,SCEL,2:37,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2:37,0:00,0:00,None,0,FTD,1:18,1:18,0:00,0:20,2:17,0:00,0:00,Cessna 182T SCTE-SCEL training flight.,None,N/A,2023-01-21,2024-01-21 0:00:00,N/A,active
Javier Ríos,CL-ATPL-00789,Chile,1/25/1982,ATPL(A),DGAC Chile,3/20/2015,3/20/2027,4/2/2025,CC-YFA,Cessna 172N,None,SCDA,SCFA,1:26,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1:26,0:00,0:43,VOR,4,None,0:00,0:00,0:00,0:20,0:00,1:06,1:06,Cessna 172N SCDA-SCFA training flight.,None,N/A,2023-04-25,2024-04-24 0:00:00,N/A,active
Camila Torres,CL-PPL-00234,Chile,8/19/1994,PPL(H),DGAC Chile,11/11/2021,11/11/2027,7/27/2025,CC-STE,Tecnam P92,None,SCCI,SPJC,1:45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1:45,0:00,0:26,ILS,2,None,0:00,0:08,0:00,1:45,0:00,0:00,0:00,Tecnam P92 SCCI-SPJC training flight.,IFR Currency Check,Instructor,2022-10-25,2024-03-07,IFR Currency Check recorded for training block.,suspended
Diego Fuentes,CL-CPL-00321,Chile,5/30/1989,CPL(A),DGAC Chile,1/10/2020,1/10/2026,8/3/2025,CC-KSB,Tecnam P92,Redbird FMX,SCVD,SCBA,0:56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0:51,0:05,0:00,None,0,FTD,0:28,0:45,0:00,0:22,0:00,0:34,0:34,Tecnam P92 SCVD-SCBA training flight.,None,N/A,2024-05-12,2025-05-12 0:00:00,N/A,active
Rafael Ascanio,CL-PPL-00123,Chile,4/12/1990,PPL(A),DGAC Chile,6/15/2020,6/15/2026,1/16/2025,CC-UOB,Pilatus PC-12,Frasca FTD,SCTE,SCIE,1:14,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1:07,0:07,0:00,None,0,FlightSimulator,1:10,0:53,0:00,1:14,0:00,0:00,0:00,Pilatus PC-12 SCTE-SCIE training flight.,Solo Endorsement,MedicalAuthority,2024-08-01,2025-02-09,Solo Endorsement recorded for training block.,expired
María Valenzuela,CL-CPL-00456,Chile,10/3/1987,CPL(A) IR,DGAC Chile,9/1/2019,9/1/2025,6/30/2025,CC-QVS,Diamond DA40,None,SCIE,SCDA,2:35,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2:35,0:00,0:00,None,0,None,0:00,0:57,0:00,2:35,0:00,0:00,0:00,Diamond DA40 SCIE-SCDA training flight.,None,N/A,2025-08-06,2026-08-06 0:00:00,N/A,active
Javier Ríos,CL-ATPL-00789,Chile,1/25/1982,ATPL(A),DGAC Chile,3/20/2015,3/20/2027,5/11/2024,CC-UMV,Tecnam P2008,None,SCCI,SCFA,0:30,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0:30,0:00,0:00,None,0,None,0:00,0:10,0:00,0:30,0:00,0:00,0:00,Tecnam P2008 SCCI-SCFA training flight.,None,N/A,2024-06-24,2025-06-24 0:00:00,N/A,active
Camila Torres,CL-PPL-00234,Chile,8/19/1994,PPL(H),DGAC Chile,11/11/2021,11/11/2027,8/31/2024,CC-HLT,Schleicher ASK 21,Frasca FTD,SCCI,SCBA,1:27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1:27,0:00,0:43,RNAV,1,FlightSimulator,0:30,1:14,1:27,1:27,0:00,0:00,0:00,Schleicher ASK 21 SCCI-SCBA training flight.,Biennial Flight Review,IOA,2023-09-10,2025-07-20,Biennial Flight Review recorded for training block.,active
Diego Fuentes,CL-CPL-00321,Chile,5/30/1989,CPL(A),DGAC Chile,1/10/2020,1/10/2026,3/16/2024,CC-HPW,Airbus H125,None,SCTE,SCEL,2:56,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2:21,0:35,0:00,None,0,None,0:00,1:40,0:00,0:37,2:19,0:00,0:00,Airbus H125 SCTE-SCEL training flight.,None,N/A,2025-07-27,2026-07-27 0:00:00,N/A,active
Rafael Ascanio,CL-PPL-00123,Chile,4/12/1990,PPL(A),DGAC Chile,6/15/2020,6/15/2026,4/16/2024,CC-MTR,Cessna 182T,Elite S923,SCBA,SPJC,3:34,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2:52,0:42,1:47,ILS,1,FlightSimulator,1:25,1:47,0:00,3:34,0:00,0:00,0:00,Cessna 182T SCBA-SPJC training flight.,None,N/A,2024-04-27,2025-04-27 0:00:00,N/A,active
María Valenzuela,CL-CPL-00456,Chile,10/3/1987,CPL(A) IR,DGAC Chile,9/1/2019,9/1/2025,4/26/2024,CC-HPM,Beechcraft Baron 58,Elite S923,SCTE,SCCF,2:45,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2:45,0:00,0:41,Visual,3,BasicInstrumentTrainer,0:50,1:34,0:00,2:45,0:00,0:00,0:00,Beechcraft Baron 58 SCTE-SCCF training flight.,IFR Currency Check,DGAC,2024-03-10,2025-07-16,IFR Currency Check recorded for training block.,expired
Javier Ríos,CL-ATPL-00789,Chile,1/25/1982,ATPL(A),DGAC Chile,3/20/2015,3/20/2027,4/11/2024,CC-ITY,Piper PA-28-181 Archer,None,SCVD,SCDA,3:54,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3:54,0:00,0:00,None,0,None,0:00,0:44,0:00,0:46,0:00,3:08,3:08,Piper PA-28-181 Archer SCVD-SCDA training flight.,None,N/A,2023-09-30,2024-09-29 0:00:00,N/A,active
Camila Torres,CL-PPL-00234,Chile,8/19/1994,PPL(H),DGAC Chile,11/11/2021,11/11/2027,1/10/2024,CC-SZN,Airbus H125,Redbird FMX,SCFA,SCSE,1:25,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1:17,0:08,0:21,VOR,3,FlightSimulator,0:42,0:08,1:25,1:25,0:00,0:00,0:00,Airbus H125 SCFA-SCSE training flight.,Night Endorsement,IOA,2022-10-01,2025-03-24,Night Endorsement recorded for training block.,suspended
Diego Fuentes,CL-CPL-00321,Chile,5/30/1989,CPL(A),DGAC Chile,1/10/2020,1/10/2026,11/27/2024,CC-OSD,Cessna 172N,None,SAEZ,SPJC,0:55,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0:55,0:00,0:27,NDB,1,None,0:00,0:05,0:00,0:55,0:00,0:00,0:00,Cessna 172N SAEZ-SPJC training flight.,Solo Endorsement,MedicalAuthority,2024-04-07,2026-01-27,Solo Endorsement recorded for training block.,expired
Rafael Ascanio,CL-PPL-00123,Chile,4/12/1990,PPL(A),DGAC Chile,6/15/2020,6/15/2026,2/5/2024,CC-GWC,Cessna 172N,None,SCSE,SCJO,1:24,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1:16,0:08,0:21,NDB,1,None,0:00,0:09,0:00,0:03,0:00,1:21,1:21,Cessna 172N SCSE-SCJO training flight.,None,N/A,2022-12-21,2023-12-21 0:00:00,N/A,active
María Valenzuela,CL-CPL-00456,Chile,10/3/1987,CPL(A) IR,DGAC Chile,9/1/2019,9/1/2025,9/26/2024,CC-YCG,Tecnam P2008,None,SCTE,SAEZ,2:54,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2:54,0:00,0:00,None,0,None,0:00,1:13,0:00,0:22,0:00,2:32,2:32,Tecnam P2008 SCTE-SAEZ training flight.,Biennial Flight Review,MedicalAuthority,2023-12-09,2026-08-09,Biennial Flight Review recorded for training block.,suspended
Javier Ríos,CL-ATPL-00789,Chile,1/25/1982,ATPL(A),DGAC Chile,3/20/2015,3/20/2027,6/4/2025,CC-HPL,Piper PA-34 Seneca,None,SCCI,SCBA,2:04,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2:04,0:00,0:31,ILS,1,None,0:00,0:12,0:00,0:28,0:00,1:36,1:36,Piper PA-34 Seneca SCCI-SCBA training flight.,None,N/A,2023-11-02,2024-11-01 0:00:00,N/A,active
Camila Torres,CL-PPL-00234,Chile,8/19/1994,PPL(H),DGAC Chile,11/11/2021,11/11/2027,8/8/2025,CC-EEB,Cessna 172N,None,SCEL,SCJO,1:26,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1:26,0:00,0:00,None,0,None,0:00,0:10,0:00,0:05,0:00,1:21,1:21,Cessna 172N SCEL-SCJO training flight.,None,N/A,2025-03-13,2026-03-13 0:00:00,N/A,active
Diego Fuentes,CL-CPL-00321,Chile,5/30/1989,CPL(A),DGAC Chile,1/10/2020,1/10/2026,6/4/2025,CC-AHH,Cessna 208B Grand Caravan,None,SAEZ,SCJO,1:07,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1:07,0:00,0:16,ILS,2,None,0:00,0:49,0:00,1:07,0:00,0:00,0:00,Cessna 208B Grand Caravan SAEZ-SCJO training flight.,None,N/A,2024-02-26,2025-02-25 0:00:00,N/A,active
Rafael Ascanio,CL-PPL-00123,Chile,4/12/1990,PPL(A),DGAC Chile,6/15/2020,6/15/2026,7/13/2024,CC-LOQ,Pilatus PC-12,None,SCFA,SCDA,1:48,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1:48,0:00,0:27,ILS,1,None,0:00,0:03,1:48,1:48,0:00,0:00,0:00,Pilatus PC-12 SCFA-SCDA training flight.,None,N/A,2023-08-08,2024-08-07 0:00:00,N/A,active
María Valenzuela,CL-CPL-00456,Chile,10/3/1987,CPL(A) IR,DGAC Chile,9/1/2019,9/1/2025,5/7/2025,CC-XLM,Beechcraft King Air C90,None,SCFA,SPJC,1:53,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1:53,0:00,0:56,NDB,3,None,0:00,1:16,0:00,1:53,0:00,0:00,0:00,Beechcraft King Air C90 SCFA-SPJC training flight.,Type Rating Check,MedicalAuthority,2025-06-10,2027-02-28,Type Rating Check recorded for training block.,active
Javier Ríos,CL-ATPL-00789,Chile,1/25/1982,ATPL(A),DGAC Chile,3/20/2015,3/20/2027,7/22/2025,CC-TPA,Cessna 182T,Frasca FTD,SCAR,SCVD,3:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3:00,0:00,0:00,None,0,BasicInstrumentTrainer,0:17,2:09,0:00,3:00,0:00,0:00,0:00,Cessna 182T SCAR-SCVD training flight.,None,N/A,2022-10-15,2023-10-15 0:00:00,N/A,active
Camila Torres,CL-PPL-00234,Chile,8/19/1994,PPL(H),DGAC Chile,11/11/2021,11/11/2027,10/25/2024,CC-TEN,Schleicher ASK 21,Redbird FMX,SCJO,SCFA,3:04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3:04,0:00,0:00,None,0,BasicInstrumentTrainer,0:28,0:12,0:00,3:04,0:00,0:00,0:00,Schleicher ASK 21 SCJO-SCFA training flight.,Biennial Flight Review,DGAC,2023-03-08,2024-12-28,Biennial Flight Review recorded for training block.,expired
Diego Fuentes,CL-CPL-00321,Chile,5/30/1989,CPL(A),DGAC Chile,1/10/2020,1/10/2026,3/19/2025,CC-WIS,Cessna 172N,None,SCFA,SCVD,1:39,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1:39,0:00,0:00,None,0,None,0:00,0:59,0:00,0:48,0:51,0:00,0:00,Cessna 172N SCFA-SCVD training flight.,None,N/A,2024-12-01,2025-12-01 0:00:00,N/A,active
Rafael Ascanio,CL-PPL-00123,Chile,4/12/1990,PPL(A),DGAC Chile,6/15/2020,6/15/2026,2/14/2025,CC-IIZ,Cessna 172N,Redbird FMX,SCIE,SCCI,2:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2:30,0:00,0:00,None,0,BasicInstrumentTrainer,0:57,1:09,0:00,0:19,0:00,2:11,2:11,Cessna 172N SCIE-SCCI training flight.,Type Rating Check,DGAC,2024-12-27,2025-08-19,Type Rating Check recorded for training block.,active
María Valenzuela,CL-CPL-00456,Chile,10/3/1987,CPL(A) IR,DGAC Chile,9/1/2019,9/1/2025,5/18/2025,CC-QTF,Cessna 182T,None,SCTE,SCDA,3:56,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3:56,0:00,1:58,RNAV,4,None,0:00,0:25,0:00,1:51,0:00,2:05,2:05,Cessna 182T SCTE-SCDA training flight.,Medical Certificate,DGAC,2023-05-09,2023-12-04,Medical Certificate recorded for training block.,suspended
Javier Ríos,CL-ATPL-00789,Chile,1/25/1982,ATPL(A),DGAC Chile,3/20/2015,3/20/2027,1/25/2025,CC-IAK,Robinson R44,None,SCAR,SCSE,2:24,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2:10,0:14,1:12,NDB,1,None,0:00,0:52,0:00,2:24,0:00,0:00,0:00,Robinson R44 SCAR-SCSE training flight.,None,N/A,2023-07-15,2024-07-14 0:00:00,N/A,active
Camila Torres,CL-PPL-00234,Chile,8/19/1994,PPL(H),DGAC Chile,11/11/2021,11/11/2027,5/8/2025,CC-NHV,Tecnam P92,Elite S923,SCJO,SCAR,0:44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0:44,0:00,0:11,VOR,4,BasicInstrumentTrainer,0:26,0:21,0:00,0:44,0:00,0:00,0:00,Tecnam P92 SCJO-SCAR training flight.,None,N/A,2023-09-28,2024-09-27 0:00:00,N/A,active
Diego Fuentes,CL-CPL-00321,Chile,5/30/1989,CPL(A),DGAC Chile,1/10/2020,1/10/2026,6/18/2024,CC-WHU,Pilatus PC-12,None,SCIE,SCCF,0:54,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0:54,0:00,0:13,Visual,3,None,0:00,0:33,0:00,0:07,0:47,0:00,0:00,Pilatus PC-12 SCIE-SCCF training flight.,None,N/A,2022-09-08,2023-09-08 0:00:00,N/A,active
Rafael Ascanio,CL-PPL-00123,Chile,4/12/1990,PPL(A),DGAC Chile,6/15/2020,6/15/2026,8/17/2025,CC-WLM,Airbus H125,None,SCCF,SCCI,1:52,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1:52,0:00,0:00,None,0,None,0:00,0:50,0:00,1:52,0:00,0:00,0:00,Airbus H125 SCCF-SCCI training flight.,Type Rating Check,DGAC,2025-03-23,2026-08-14,Type Rating Check recorded for training block.,active
María Valenzuela,CL-CPL-00456,Chile,10/3/1987,CPL(A) IR,DGAC Chile,9/1/2019,9/1/2025,7/13/2025,CC-GUB,Cessna 182T,Frasca FTD,SCVD,SCJO,2:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2:30,0:00,0:00,None,0,FlightSimulator,0:13,0:02,0:00,1:11,0:00,1:19,1:19,Cessna 182T SCVD-SCJO training flight.,None,N/A,2024-11-01,2025-11-01 0:00:00,N/A,active
Javier Ríos,CL-ATPL-00789,Chile,1/25/1982,ATPL(A),DGAC Chile,3/20/2015,3/20/2027,11/26/2024,CC-MAN,Robinson R44,None,SCCI,SCCF,2:40,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2:40,0:00,0:00,None,0,None,0:00,1:26,2:40,2:40,0:00,0:00,0:00,Robinson R44 SCCI-SCCF training flight.,None,N/A,2023-03-27,2024-03-26 0:00:00,N/A,active
Camila Torres,CL-PPL-00234,Chile,8/19/1994,PPL(H),DGAC Chile,11/11/2021,11/11/2027,5/31/2024,CC-ADW,Cessna 182T,None,SCDA,SCSE,2:43,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2:11,0:32,0:00,None,0,None,0:00,0:23,0:00,2:43,0:00,0:00,0:00,Cessna 182T SCDA-SCSE training flight.,None,N/A,2025-04-21,2026-04-21 0:00:00,N/A,active
Diego Fuentes,CL-CPL-00321,Chile,5/30/1989,CPL(A),DGAC Chile,1/10/2020,1/10/2026,10/9/2023,CC-QWW,Cessna 182T,None,SAEZ,SCTE,3:22,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3:02,0:20,0:00,None,0,None,0:00,2:02,0:00,3:22,0:00,0:00,0:00,Cessna 182T SAEZ-SCTE training flight.,Biennial Flight Review,IOA,2025-05-29,2028-05-06,Biennial Flight Review recorded for training block.,suspended
Rafael Ascanio,CL-PPL-00123,Chile,4/12/1990,PPL(A),DGAC Chile,6/15/2020,6/15/2026,12/12/2023,CC-QXZ,Pilatus PC-12,None,SCVD,SCSE,1:59,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1:48,0:11,0:00,None,0,None,0:00,0:07,0:00,0:38,1:21,0:00,0:00,Pilatus PC-12 SCVD-SCSE training flight.,None,N/A,2025-02-07,2026-02-07 0:00:00,N/A,active
María Valenzuela,CL-CPL-00456,Chile,10/3/1987,CPL(A) IR,DGAC Chile,9/1/2019,9/1/2025,9/20/2024,CC-LSX,Robinson R44,None,SCEL,SCIE,0:34,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0:34,0:00,0:17,ILS,3,None,0:00,0:01,0:00,0:05,0:29,0:00,0:00,Robinson R44 SCEL-SCIE training flight.,None,N/A,2024-09-06,2025-09-06 0:00:00,N/A,active
Javier Ríos,CL-ATPL-00789,Chile,1/25/1982,ATPL(A),DGAC Chile,3/20/2015,3/20/2027,4/22/2025,CC-NOU,Beechcraft Baron 58,Redbird FMX,SCDA,SCAR,3:01,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3:01,0:00,0:45,NDB,2,BasicInstrumentTrainer,1:18,0:34,0:00,3:01,0:00,0:00,0:00,Beechcraft Baron 58 SCDA-SCAR training flight.,None,N/A,2025-06-18,2026-06-18 0:00:00,N/A,active
Camila Torres,CL-PPL-00234,Chile,8/19/1994,PPL(H),DGAC Chile,11/11/2021,11/11/2027,7/27/2025,CC-QLR,Cessna 182T,None,SPJC,SCJO,2:46,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2:46,0:00,0:00,None,0,None,0:00,0:01,0:00,0:15,0:00,2:31,2:31,Cessna 182T SPJC-SCJO training flight.,None,N/A,2024-04-14,2025-04-14 0:00:00,N/A,active
Diego Fuentes,CL-CPL-00321,Chile,5/30/1989,CPL(A),DGAC Chile,1/10/2020,1/10/2026,12/13/2024,CC-LIP,Pilatus PC-12,None,SCBA,SCIE,1:29,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1:29,0:00,0:00,None,0,None,0:00,0:54,0:00,1:29,0:00,0:00,0:00,Pilatus PC-12 SCBA-SCIE training flight.,None,N/A,2024-01-28,2025-01-27 0:00:00,N/A,active
Rafael Ascanio,CL-PPL-00123,Chile,4/12/1990,PPL(A),DGAC Chile,6/15/2020,6/15/2026,4/13/2025,CC-ZWC,Schleicher ASK 21,None,SCIE,SCBA,1:58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1:58,0:00,0:00,None,0,None,0:00,0:14,0:00,1:58,0:00,0:00,0:00,Schleicher ASK 21 SCIE-SCBA training flight.,None,N/A,2024-09-07,2025-09-07 0:00:00,N/A,active
María Valenzuela,CL-CPL-00456,Chile,10/3/1987,CPL(A) IR,DGAC Chile,9/1/2019,9/1/2025,5/15/2025,CC-AVK,Diamond DA40,None,SCEL,SCBA,3:02,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3:02,0:00,0:00,None,0,None,0:00,1:19,0:00,3:02,0:00,0:00,0:00,Diamond DA40 SCEL-SCBA training flight.,None,N/A,2022-12-12,2023-12-12 0:00:00,N/A,active
Javier Ríos,CL-ATPL-00789,Chile,1/25/1982,ATPL(A),DGAC Chile,3/20/2015,3/20/2027,7/28/2025,CC-UFU,Airbus H125,Redbird FMX,SCAR,SCVD,1:36,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1:36,0:00,0:00,None,0,BasicInstrumentTrainer,0:24,0:09,0:00,0:21,0:00,1:15,1:15,Airbus H125 SCAR-SCVD training flight.,None,N/A,2024-01-29,2025-01-28 0:00:00,N/A,active
Camila Torres,CL-PPL-00234,Chile,8/19/1994,PPL(H),DGAC Chile,11/11/2021,11/11/2027,12/4/2023,CC-QXQ,Robinson R44,None,SCFA,SAEZ,3:34,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3:34,0:00,0:00,None,0,None,0:00,2:17,0:00,0:14,0:00,3:20,3:20,Robinson R44 SCFA-SAEZ training flight.,Biennial Flight Review,Instructor,2024-09-19,2027-04-06,Biennial Flight Review recorded for training block.,active
Diego Fuentes,CL-CPL-00321,Chile,5/30/1989,CPL(A),DGAC Chile,1/10/2020,1/10/2026,1/28/2025,CC-TED,Tecnam P92,None,SCTE,SCCF,1:07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1:07,0:00,0:00,None,0,None,0:00,0:40,0:00,1:07,0:00,0:00,0:00,Tecnam P92 SCTE-SCCF training flight.,None,N/A,2025-08-25,2026-08-25 0:00:00,N/A,active
Rafael Ascanio,CL-PPL-00123,Chile,4/12/1990,PPL(A),DGAC Chile,6/15/2020,6/15/2026,7/26/2025,CC-GVM,Bristell B23,None,SPJC,SCFA,1:37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1:28,0:09,0:24,RNAV,1,None,0:00,1:00,0:00,1:37,0:00,0:00,0:00,Bristell B23 SPJC-SCFA training flight.,Biennial Flight Review,Instructor,2023-06-18,2026-01-25,Biennial Flight Review recorded for training block.,active
María Valenzuela,CL-CPL-00456,Chile,10/3/1987,CPL(A) IR,DGAC Chile,9/1/2019,9/1/2025,7/22/2025,CC-ZUJ,Airbus H125,None,SPJC,SCIE,0:40,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0:32,0:08,0:00,None,0,None,0:00,0:18,0:00,0:02,0:38,0:00,0:00,Airbus H125 SPJC-SCIE training flight.,Solo Endorsement,IOA,2023-05-14,2025-02-17,Solo Endorsement recorded for training block.,expired
Javier Ríos,CL-ATPL-00789,Chile,1/25/1982,ATPL(A),DGAC Chile,3/20/2015,3/20/2027,12/28/2024,CC-PVY,Airbus H125,None,SCSE,SCVD,3:59,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3:59,0:00,0:00,None,0,None,0:00,0:27,0:00,0:10,3:49,0:00,0:00,Airbus H125 SCSE-SCVD training flight.,None,N/A,2023-12-25,2024-12-24 0:00:00,N/A,active
Camila Torres,CL-PPL-00234,Chile,8/19/1994,PPL(H),DGAC Chile,11/11/2021,11/11/2027,12/31/2023,CC-IPQ,Tecnam P2008,Frasca FTD,SCBA,SCJO,2:15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2:02,0:13,0:00,None,0,FlightSimulator,1:00,0:25,2:15,2:15,0:00,0:00,0:00,Tecnam P2008 SCBA-SCJO training flight.,None,N/A,2024-12-17,2025-12-17 0:00:00,N/A,active
Diego Fuentes,CL-CPL-00321,Chile,5/30/1989,CPL(A),DGAC Chile,1/10/2020,1/10/2026,7/20/2025,CC-HMC,Cessna 172N,Elite S923,SCTE,SCDA,1:15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1:15,0:00,0:00,None,0,FlightSimulator,1:06,0:36,0:00,1:15,0:00,0:00,0:00,Cessna 172N SCTE-SCDA training flight.,None,N/A,2024-10-01,2025-10-01 0:00:00,N/A,active
Rafael Ascanio,CL-PPL-00123,Chile,4/12/1990,PPL(A),DGAC Chile,6/15/2020,6/15/2026,5/25/2025,CC-PSX,Tecnam P92,None,SCBA,SCSE,3:24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3:24,0:00,0:00,None,0,None,0:00,1:42,0:00,3:24,0:00,0:00,0:00,Tecnam P92 SCBA-SCSE training flight.,None,N/A,2025-06-01,2026-06-01 0:00:00,N/A,active
María Valenzuela,CL-CPL-00456,Chile,10/3/1987,CPL(A) IR,DGAC Chile,9/1/2019,9/1/2025,8/5/2025,CC-AJL,Piper PA-34 Seneca,None,SCAR,SCIE,1:44,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1:24,0:20,0:00,None,0,None,0:00,0:12,0:00,1:44,0:00,0:00,0:00,Piper PA-34 Seneca SCAR-SCIE training flight.,None,N/A,2023-03-25,2024-03-24 0:00:00,N/A,active
Javier Ríos,CL-ATPL-00789,Chile,1/25/1982,ATPL(A),DGAC Chile,3/20/2015,3/20/2027,5/9/2024,CC-BHZ,Diamond DA40,None,SAEZ,SCJO,3:31,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3:31,0:00,0:00,None,0,None,0:00,0:15,0:00,0:39,2:52,0:00,0:00,Diamond DA40 SAEZ-SCJO training flight.,Solo Endorsement,IE,2022-10-16,2023-06-04,Solo Endorsement recorded for training block.,expired
Camila Torres,CL-PPL-00234,Chile,8/19/1994,PPL(H),DGAC Chile,11/11/2021,11/11/2027,1/29/2024,CC-BTF,Ozone Delta 4 (Paraglider),Elite S923,SCAR,SCFA,1:18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1:18,0:00,0:39,Visual,1,FTD,1:12,0:07,0:00,0:37,0:41,0:00,0:00,Ozone Delta 4 (Paraglider) SCAR-SCFA training flight.,None,N/A,2024-03-23,2025-03-23 0:00:00,N/A,active
